Total Awards,Award Type,Year,Institution,Campus,County,2 Digit CIP,6 Digit CIP,4 Digit CIP,State,Program Family,Program Category,Program
7,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
1,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
8,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
5,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
6,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
12,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
7,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
7,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
9,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
6,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
10,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",11,11.0901,11.09,Tennessee,Computer and Information Sciences and Support Services,Computer Systems Networking and Telecommunications,Computer Systems Networking and Telecommunications
10,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
10,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",51,51.0805,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Pharmacy Technician/Assistant
4,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
10,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",11,11.0901,11.09,Tennessee,Computer and Information Sciences and Support Services,Computer Systems Networking and Telecommunications,Computer Systems Networking and Telecommunications
11,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
7,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
16,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
8,Diploma,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
3,Certificate,2019-20,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
4,Diploma,2021-22,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",46,46.0301,46.03,Tennessee,Construction Trades,Electrical and Power Transmission Installers,"Electrical and Power Transmission Installation/Installer, General"
11,Diploma,2021-22,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
4,Diploma,2021-22,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
8,Diploma,2021-22,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
12,Diploma,2019-20,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
11,Diploma,2019-20,Chattanooga,ChSCC - West Campus,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
131,Certificate,2021-22,Chattanooga,Kansita Building                                          ,"Hamilton County, TN",49,49.0205,49.02,Tennessee,Transportation and Materials Moving,Ground Transportation,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
96,Certificate,2019-20,Chattanooga,Kansita Building                                          ,"Hamilton County, TN",49,49.0205,49.02,Tennessee,Transportation and Materials Moving,Ground Transportation,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
28,Certificate,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",12,12.0499,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology and Related Personal Grooming Arts, Other"
20,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
21,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
16,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",52,52.0407,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Business/Office Automation/Technology/Data Entry
9,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
5,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
9,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0611,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Motorcycle Maintenance and Repair Technology/Technician
20,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
15,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
14,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
31,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",52,52.0407,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Business/Office Automation/Technology/Data Entry
16,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0611,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Motorcycle Maintenance and Repair Technology/Technician
13,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
9,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
44,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",46,46.0301,46.03,Tennessee,Construction Trades,Electrical and Power Transmission Installers,"Electrical and Power Transmission Installation/Installer, General"
38,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
25,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
32,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
17,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
12,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",12,12.0402,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,Barbering/Barber
41,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
1,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0302,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Heavy Equipment Maintenance Technology/Technician
20,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",51,51.0909,51.09,Tennessee,Health Professions and Related Programs,"Allied Health Diagnostic, Intervention, and Treatment Professions",Surgical Technology/Technologist
19,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",51,51.0909,51.09,Tennessee,Health Professions and Related Programs,"Allied Health Diagnostic, Intervention, and Treatment Professions",Surgical Technology/Technologist
15,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",12,12.0499,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology and Related Personal Grooming Arts, Other"
11,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",12,12.0402,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,Barbering/Barber
29,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",52,52.0407,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Business/Office Automation/Technology/Data Entry
32,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
5,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0302,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Heavy Equipment Maintenance Technology/Technician
29,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
9,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0611,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Motorcycle Maintenance and Repair Technology/Technician
15,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
40,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
38,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
49,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",46,46.0301,46.03,Tennessee,Construction Trades,Electrical and Power Transmission Installers,"Electrical and Power Transmission Installation/Installer, General"
15,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
14,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
24,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
10,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
26,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
2,Diploma,2021-22,Chattanooga,Rhea County Industrial Park,"Hamilton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
6,Diploma,2021-22,Chattanooga,Rhea County Industrial Park,"Hamilton County, TN",46,46.0301,46.03,Tennessee,Construction Trades,Electrical and Power Transmission Installers,"Electrical and Power Transmission Installation/Installer, General"
2,Certificate,2019-20,Chattanooga,Suburban Manufacturing,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
10,Diploma,2021-22,Chattanooga,Suburban Manufacturing,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
4,Diploma,2019-20,Chattanooga,Suburban Manufacturing,"Hamilton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
4,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
22,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
15,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
6,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
10,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
1,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
1,Certificate,2019-20,Covington,Main Campus,"Tipton County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
6,Certificate,2019-20,Covington,Main Campus,"Tipton County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
21,Certificate,2019-20,Covington,Main Campus,"Tipton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
7,Certificate,2019-20,Covington,Main Campus,"Tipton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
17,Certificate,2019-20,Covington,Main Campus,"Tipton County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
4,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
5,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
17,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
8,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
15,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",51,51.0601,51.06,Tennessee,Health Professions and Related Programs,Dental Support Services and Allied Professions,Dental Assisting/Assistant
6,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",51,51.0805,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Pharmacy Technician/Assistant
1,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
10,Diploma,2019-20,Covington,Main Campus,"Tipton County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
14,Diploma,2019-20,Covington,Main Campus,"Tipton County, TN",51,51.0601,51.06,Tennessee,Health Professions and Related Programs,Dental Support Services and Allied Professions,Dental Assisting/Assistant
7,Diploma,2019-20,Covington,Main Campus,"Tipton County, TN",51,51.0805,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Pharmacy Technician/Assistant
7,Diploma,2019-20,Covington,Main Campus,"Tipton County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
11,Diploma,2019-20,Covington,Main Campus,"Tipton County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
19,Diploma,2019-20,Covington,Main Campus,"Tipton County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
2,Certificate,2021-22,Crossville,Bledsoe County Correctional Complex,"Bledsoe County, TN",46,46.0415,46.04,Tennessee,Construction Trades,"Building/Construction Finishing, Management, and Inspection",Building Construction Technology/Technician
5,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
1,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
2,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
3,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",46,46.0415,46.04,Tennessee,Construction Trades,"Building/Construction Finishing, Management, and Inspection",Building Construction Technology/Technician
5,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
2,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",47,47.0611,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Motorcycle Maintenance and Repair Technology/Technician
32,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",49,49.0205,49.02,Tennessee,Transportation and Materials Moving,Ground Transportation,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
5,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
1,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
2,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
5,Certificate,2021-22,Crossville,Main Campus,"Cumberland County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
7,Certificate,2019-20,Crossville,Main Campus,"Cumberland County, TN",47,47.0611,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Motorcycle Maintenance and Repair Technology/Technician
2,Certificate,2019-20,Crossville,Main Campus,"Cumberland County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
5,Certificate,2019-20,Crossville,Main Campus,"Cumberland County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
4,Certificate,2019-20,Crossville,Main Campus,"Cumberland County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
